Sat Jan 24 20:27:29 2015 us=593064   replay_window = 64
Sat Jan 24 20:27:29 2015 us=593645   replay_time = 15
Sat Jan 24 20:27:29 2015 us=594212   packet_id_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=594767   use_iv = ENABLED
Sat Jan 24 20:27:29 2015 us=595326   test_crypto = DISABLED
Sat Jan 24 20:27:29 2015 us=595945   tls_server = DISABLED
Sat Jan 24 20:27:29 2015 us=596506   tls_client = DISABLED
Sat Jan 24 20:27:29 2015 us=597068   key_method = 2
Sat Jan 24 20:27:29 2015 us=597637   ca_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=598277   ca_path = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=598843   dh_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=599400   cert_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=599984   priv_key_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=600561   pkcs12_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=601125   cipher_list = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=601712   tls_verify = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=602263   tls_export_cert = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=602847   verify_x509_type = 0
Sat Jan 24 20:27:29 2015 us=603529   verify_x509_name = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=604080   crl_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=604650   ns_cert_type = 0
Sat Jan 24 20:27:29 2015 us=605223   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=605802   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=606353   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=606936   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=607516   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=608078   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=608647   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=609198   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=609777   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=610335   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=610915   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=611520   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=612084   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=612649   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=613317   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=613873   remote_cert_ku[i] = 0
Sat Jan 24 20:27:29 2015 us=614442   remote_cert_eku = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=615000   ssl_flags = 0
Sat Jan 24 20:27:29 2015 us=615573   tls_timeout = 2
Sat Jan 24 20:27:29 2015 us=616138   renegotiate_bytes = 0
Sat Jan 24 20:27:29 2015 us=616711   renegotiate_packets = 0
Sat Jan 24 20:27:29 2015 us=617280   renegotiate_seconds = 3600
Sat Jan 24 20:27:29 2015 us=617854   handshake_window = 60
Sat Jan 24 20:27:29 2015 us=618534   transition_window = 3600
Sat Jan 24 20:27:29 2015 us=619121   single_session = DISABLED
Sat Jan 24 20:27:29 2015 us=619912   push_peer_info = DISABLED
Sat Jan 24 20:27:29 2015 us=620476   tls_exit = DISABLED
Sat Jan 24 20:27:29 2015 us=621047   tls_auth_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=621965   server_network = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=622584   server_netmask = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=623481   server_network_ipv6 = ::
Sat Jan 24 20:27:29 2015 us=624057   server_netbits_ipv6 = 0
Sat Jan 24 20:27:29 2015 us=624676   server_bridge_ip = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=625295   server_bridge_netmask = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=625921   server_bridge_pool_start = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=626532   server_bridge_pool_end = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=627139   ifconfig_pool_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=627754   ifconfig_pool_start = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=628360   ifconfig_pool_end = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=628987   ifconfig_pool_netmask = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=629554   ifconfig_pool_persist_filename = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=630146   ifconfig_pool_persist_refresh_freq = 600
Sat Jan 24 20:27:29 2015 us=630708   ifconfig_ipv6_pool_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=631314   ifconfig_ipv6_pool_base = ::
Sat Jan 24 20:27:29 2015 us=631893   ifconfig_ipv6_pool_netbits = 0
Sat Jan 24 20:27:29 2015 us=632471   n_bcast_buf = 256
Sat Jan 24 20:27:29 2015 us=633098   tcp_queue_limit = 64
Sat Jan 24 20:27:29 2015 us=633687   real_hash_size = 256
Sat Jan 24 20:27:29 2015 us=634259   virtual_hash_size = 256
Sat Jan 24 20:27:29 2015 us=634877   client_connect_script = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=635439   learn_address_script = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=636025   client_disconnect_script = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=636596   client_config_dir = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=637146   ccd_exclusive = DISABLED
Sat Jan 24 20:27:29 2015 us=637804   tmp_dir = '/tmp'
Sat Jan 24 20:27:29 2015 us=638373   push_ifconfig_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=638999   push_ifconfig_local = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=639605   push_ifconfig_remote_netmask = 0.0.0.0
Sat Jan 24 20:27:29 2015 us=640165   push_ifconfig_ipv6_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=640785   push_ifconfig_ipv6_local = ::/0
Sat Jan 24 20:27:29 2015 us=641373   push_ifconfig_ipv6_remote = ::
Sat Jan 24 20:27:29 2015 us=641934   enable_c2c = DISABLED
Sat Jan 24 20:27:29 2015 us=642547   duplicate_cn = DISABLED
Sat Jan 24 20:27:29 2015 us=643182   cf_max = 0
Sat Jan 24 20:27:29 2015 us=643758   cf_per = 0
Sat Jan 24 20:27:29 2015 us=644337   max_clients = 1024
Sat Jan 24 20:27:29 2015 us=644914   max_routes_per_client = 256
Sat Jan 24 20:27:29 2015 us=645502   auth_user_pass_verify_script = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=646398   auth_user_pass_verify_script_via_file = DISABLED
Sat Jan 24 20:27:29 2015 us=646978   port_share_host = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=647542   port_share_port = 0
Sat Jan 24 20:27:29 2015 us=648099   client = DISABLED
Sat Jan 24 20:27:29 2015 us=648651   pull = DISABLED
Sat Jan 24 20:27:29 2015 us=649222   auth_user_pass_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=651611 OpenVPN 2.3.6 i386-unknown-openbsd5.6 [SSL (OpenSSL)] [LZO] [MH] [IPv6] built on Dec  2 2014
Sat Jan 24 20:27:29 2015 us=654621 library versions: LibreSSL 2.0, LZO 2.08
Sat Jan 24 20:27:29 2015 us=710958 Static Encrypt: Cipher 'BF-CBC' initialized with 128 bit key
Sat Jan 24 20:27:29 2015 us=713745 Static Encrypt: Using 160 bit message hash 'SHA1' for HMAC authentication
Sat Jan 24 20:27:29 2015 us=715717 Static Decrypt: Cipher 'BF-CBC' initialized with 128 bit key
Sat Jan 24 20:27:29 2015 us=716410 Static Decrypt: Using 160 bit message hash 'SHA1' for HMAC authentication
Sat Jan 24 20:27:29 2015 us=717759 LZO compression initialized
Sat Jan 24 20:27:29 2015 us=721256 Socket Buffers: R=[41600->65536] S=[9216->65536]
Sat Jan 24 20:27:29 2015 us=729761 TUN/TAP device tun0 exists previously, keep at program end
Sat Jan 24 20:27:29 2015 us=731000 TUN/TAP device /dev/tun0 opened
Sat Jan 24 20:27:29 2015 us=731753 do_ifconfig, tt->ipv6=0, tt->did_ifconfig_ipv6_setup=0
Sat Jan 24 20:27:29 2015 us=733909 /sbin/ifconfig tun0 192.168.13.1 192.168.13.2 mtu 1500 netmask 255.255.255.255 up -link0
Sat Jan 24 20:27:29 2015 us=758639 Data Channel MTU parms [ L:1545 D:1450 EF:45 EB:135 ET:0 EL:0 AF:3/1 ]
Sat Jan 24 20:27:29 2015 us=760373 Local Options String: 'V4,dev-type tun,link-mtu 1545,tun-mtu 1500,proto UDPv4,ifconfig 192.168.13.2 192.168.13.1,comp-lzo,cipher BF-CBC,auth SHA1,keysize 128,secret'
Sat Jan 24 20:27:29 2015 us=760989 Expected Remote Options String: 'V4,dev-type tun,link-mtu 1545,tun-mtu 1500,proto UDPv4,ifconfig 192.168.13.1 192.168.13.2,comp-lzo,cipher BF-CBC,auth SHA1,keysize 128,secret'
Sat Jan 24 20:27:29 2015 us=763174 Local Options hash (VER=V4): 'da54b005'
Sat Jan 24 20:27:29 2015 us=764049 Expected Remote Options hash (VER=V4): '930e0f94'
Sat Jan 24 20:27:29 2015 us=926824 GID set to cyberus_openvpn
Sat Jan 24 20:27:29 2015 us=929645 UID set to cyberus_openvpn
Sat Jan 24 20:27:29 2015 us=930942 UDPv4 link local (bound): [undef]
Sat Jan 24 20:27:29 2015 us=931618 UDPv4 link remote: [undef]
Sat Jan 24 20:27:43 2015 us=658184 Peer Connection Initiated with [AF_INET]89.226.198.69:10006
Sat Jan 24 20:27:43 2015 us=659243 Initialization Sequence Completed
Sat Jan 24 20:37:28 2015 us=920526 Inactivity timeout (--ping-restart), restarting
Sat Jan 24 20:37:28 2015 us=921273 TCP/UDP: Closing socket
Sat Jan 24 20:37:28 2015 us=922099 SIGUSR1[soft,ping-restart] received, process restarting
Sat Jan 24 20:37:28 2015 us=922694 Restart pause, 2 second(s)
Sat Jan 24 20:37:30 2015 us=930762 Re-using pre-shared static key
Sat Jan 24 20:37:30 2015 us=931435 LZO compression initialized
Sat Jan 24 20:37:30 2015 us=932435 Socket Buffers: R=[41600->65536] S=[9216->65536]
Sat Jan 24 20:37:30 2015 us=933135 Preserving previous TUN/TAP instance: tun0
Sat Jan 24 20:37:30 2015 us=934198 Data Channel MTU parms [ L:1545 D:1450 EF:45 EB:135 ET:0 EL:0 AF:3/1 ]
Sat Jan 24 20:37:30 2015 us=935847 Local Options String: 'V4,dev-type tun,link-mtu 1545,tun-mtu 1500,proto UDPv4,ifconfig 192.168.13.2 192.168.13.1,comp-lzo,cipher BF-CBC,auth SHA1,keysize 128,secret'
Sat Jan 24 20:37:30 2015 us=936409 Expected Remote Options String: 'V4,dev-type tun,link-mtu 1545,tun-mtu 1500,proto UDPv4,ifconfig 192.168.13.1 192.168.13.2,comp-lzo,cipher BF-CBC,auth SHA1,keysize 128,secret'
Sat Jan 24 20:37:30 2015 us=937225 Local Options hash (VER=V4): 'da54b005'
